id,split,label,challenge,n_sets,min_pages,max_pages,has_sentence_only_set,modality_summary,set_pages,strict_multi_article,lenient_multi_article,has_sentence_only_multi_page_set
24435,train,REFUTES,Numerical Reasoning,2,1,1,0,table-only|table-only,1|1,0,0,0
14802,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
28540,train,SUPPORTS,Other,1,1,1,0,mixed,1,0,0,0
71874,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
70296,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
16578,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
76062,train,REFUTES,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
15702,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
55963,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
20067,train,REFUTES,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
1196,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
39969,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
24605,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
5407,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
29905,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
5842,train,REFUTES,Numerical Reasoning,1,1,1,0,table-only,1,0,0,0
10282,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
56586,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,table-only,2,1,1,0
27959,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
78957,train,REFUTES,Other,1,1,1,0,mixed,1,0,0,0
46323,train,SUPPORTS,Numerical Reasoning,1,2,2,0,mixed,2,1,1,0
8792,train,SUPPORTS,Multi-hop Reasoning,2,2,3,1,mixed|sentence-only,2|3,1,1,1
65838,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
57632,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
2533,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
14467,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
20730,train,SUPPORTS,Other,1,2,2,0,mixed,2,1,1,0
82412,train,SUPPORTS,Other,1,1,1,0,mixed,1,0,0,0
89389,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
78212,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
19950,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
35298,train,REFUTES,Combining Tables and Text,2,1,1,0,mixed|mixed,1|1,0,0,0
29075,train,REFUTES,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
11142,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
47005,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
20248,train,SUPPORTS,Multi-hop Reasoning,1,1,1,1,sentence-only,1,0,0,0
37952,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
76545,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
21589,train,REFUTES,Numerical Reasoning,1,1,1,0,table-only,1,0,0,0
